Number Index,Name Index,Cluster,Crop,District,Taluka,Gram Panchayat,Notification Level,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1791,5-Su.Bajra-Banaskantha-DEESA-Dashanavas,5,Su.Bajra,Banaskantha,DEESA,Dashanavas,GP,"28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000"
1792,5-Su.Bajra-Banaskantha-DEESA-Paladi,5,Su.Bajra,Banaskantha,DEESA,Paladi,GP,"28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000"
1793,5-Su.Bajra-Banaskantha-DEESA-Mutheda,5,Su.Bajra,Banaskantha,DEESA,Mutheda,GP,"28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000"
1794,5-Su.Bajra-Banaskantha-DEESA-Samau Nanavas,5,Su.Bajra,Banaskantha,DEESA,Samau Nanavas,GP,"28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000","28,000"
1795,5-Su.Bajra-Banaskantha-DEODER-Sanadar,5,Su.Bajra,Banaskantha,DEODER,Sanadar,GP,"10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500"
1796,5-Su.Bajra-Banaskantha-DEODER-Sardarpura(2),5,Su.Bajra,Banaskantha,DEODER,Sardarpura(2),GP,"10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500"
1797,5-Su.Bajra-Banaskantha-KANKREJ-Khimana(palodar),5,Su.Bajra,Banaskantha,KANKREJ,Khimana(palodar),GP,"9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659"
1798,5-Su.Bajra-Banaskantha-KANKREJ-Nikoe,5,Su.Bajra,Banaskantha,KANKREJ,Nikoe,GP,"9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659"
1799,5-Su.Bajra-Banaskantha-KANKREJ-Runi,5,Su.Bajra,Banaskantha,KANKREJ,Runi,GP,"9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659","9,659"
1800,5-Su.Bajra-Banaskantha-LAKHANI-Nana kapara,5,Su.Bajra,Banaskantha,LAKHANI,Nana kapara,GP,"16,980","16,980","16,980","16,980","16,980","16,980","16,980","16,980","16,980","16,980"
1801,3-Su.Bajra-Mahisagar-BALASINOR-Rajpur(balsi),3,Su.Bajra,Mahisagar,BALASINOR,Rajpur(balsi),GP,425,425,425,425,425,425,425,425,425,425
1802,3-Su.Bajra-Mahisagar-BALASINOR-Vasavda,3,Su.Bajra,Mahisagar,BALASINOR,Vasavda,GP,425,425,425,425,425,425,425,425,425,425
1803,2-Su.Bajra-Mehsana-KHERALU-Thangana,2,Su.Bajra,Mehsana,KHERALU,Thangana,GP,"2,345","2,345","2,345","2,345","2,345","2,345","2,345","2,345","2,345","2,345"
1804,2-Su.Bajra-Mehsana-KHERALU-Nanivada (kadarpur),2,Su.Bajra,Mehsana,KHERALU,Nanivada (kadarpur),GP,"2,345","2,345","2,345","2,345","2,345","2,345","2,345","2,345","2,345","2,345"
1805,2-Su.Bajra-Mehsana-VADNAGAR-Malekpur- chandpur,2,Su.Bajra,Mehsana,VADNAGAR,Malekpur- chandpur,GP,"1,775","1,775","1,775","1,775","1,775","1,775","1,775","1,775","1,775","1,775"
1806,2-Su.Bajra-Mehsana-KADI-Karannagr,2,Su.Bajra,Mehsana,KADI,Karannagr,GP,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285"
1807,2-Su.Bajra-Mehsana-KADI-Kudad,2,Su.Bajra,Mehsana,KADI,Kudad,GP,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285"
1808,5-Su.Bajra-Anand-KHAMBAT-Motipura,5,Su.Bajra,Anand,KHAMBAT,Motipura,GP,"3,606","3,606","3,606","3,606","3,606","3,606","3,606","3,606","3,606","3,606"
1809,5-Su.Bajra-Anand-KHAMBAT-Khambhat,5,Su.Bajra,Anand,KHAMBAT,Khambhat,GP,"3,606","3,606","3,606","3,606","3,606","3,606","3,606","3,606","3,606","3,606"
1810,5-Su.Bajra-Anand-UMRETH-Jakhala,5,Su.Bajra,Anand,UMRETH,Jakhala,GP,"2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310"
1811,5-Su.Bajra-Anand-UMRETH-Ratan pura,5,Su.Bajra,Anand,UMRETH,Ratan pura,GP,"2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310"
1812,5-Su.Bajra-Anand-UMRETH-Saradar pura,5,Su.Bajra,Anand,UMRETH,Saradar pura,GP,"2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310","2,310"
1813,5-Su.Bajra-Patan-SARASWATI-KHANPURADA,5,Su.Bajra,Patan,SARASWATI,KHANPURADA,GP,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
1814,2-Su.Bajra-Mehsana-JOTANA-,2,Su.Bajra,Mehsana,JOTANA,,Taluka,230,230,230,230,230,230,230,230,230,230
1815,2-Su.Bajra-Panchamahal-SHEHRA-,2,Su.Bajra,Panchamahal,SHEHRA,,Taluka,210,210,210,210,210,210,210,210,210,210
1816,4-Cumin-Ahmedabad-BAVLA-,4,Cumin,Ahmedabad,BAVLA,,Taluka,"1,072","1,072","1,072","1,072","1,072","1,072","1,072","1,072","1,072","1,072"
1817,4-Gram-Ahmedabad-BAVLA-,4,Gram,Ahmedabad,BAVLA,,Taluka,"2,780","2,780","2,780","2,780","2,780","2,780","2,780","2,780","2,780","2,780"
1818,4-Wheat Unirri-Ahmedabad-BAVLA-,4,Wheat Unirri,Ahmedabad,BAVLA,,Taluka,"2,405","2,405","2,405","2,405","2,405","2,405","2,405","2,405","2,405","2,405"
1819,4-Cumin-Ahmedabad-DETROJ-,4,Cumin,Ahmedabad,DETROJ,,Taluka,330,330,330,330,330,330,330,330,330,330
1820,4-Cumin-Ahmedabad-DHANDHUKA-,4,Cumin,Ahmedabad,DHANDHUKA,,Taluka,"1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520","1,520"
1821,4-Gram-Ahmedabad-DHANDHUKA-,4,Gram,Ahmedabad,DHANDHUKA,,Taluka,"21,440","21,440","21,440","21,440","21,440","21,440","21,440","21,440","21,440","21,440"
1822,4-Wheat Unirri-Ahmedabad-DHANDHUKA-,4,Wheat Unirri,Ahmedabad,DHANDHUKA,,Taluka,"15,190","15,190","15,190","15,190","15,190","15,190","15,190","15,190","15,190","15,190"
1823,4-Cumin-Ahmedabad-DHOLERA-,4,Cumin,Ahmedabad,DHOLERA,,Taluka,"4,416","4,416","4,416","4,416","4,416","4,416","4,416","4,416","4,416","4,416"
1824,4-Gram-Ahmedabad-DHOLERA-,4,Gram,Ahmedabad,DHOLERA,,Taluka,"11,023","11,023","11,023","11,023","11,023","11,023","11,023","11,023","11,023","11,023"
1825,4-Wheat Unirri-Ahmedabad-DHOLERA-,4,Wheat Unirri,Ahmedabad,DHOLERA,,Taluka,"15,470","15,470","15,470","15,470","15,470","15,470","15,470","15,470","15,470","15,470"
1826,4-Cumin-Ahmedabad-DHOLKA-,4,Cumin,Ahmedabad,DHOLKA,,Taluka,785,785,785,785,785,785,785,785,785,785
1827,4-Gram-Ahmedabad-DHOLKA-,4,Gram,Ahmedabad,DHOLKA,,Taluka,"7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640","7,640"
1828,4-Wheat Unirri-Ahmedabad-DHOLKA-,4,Wheat Unirri,Ahmedabad,DHOLKA,,Taluka,"13,570","13,570","13,570","13,570","13,570","13,570","13,570","13,570","13,570","13,570"
1829,4-Cumin-Ahmedabad-MANDAL-,4,Cumin,Ahmedabad,MANDAL,,Taluka,"4,735","4,735","4,735","4,735","4,735","4,735","4,735","4,735","4,735","4,735"
1830,4-Cumin-Ahmedabad-SANAND-,4,Cumin,Ahmedabad,SANAND,,Taluka,190,190,190,190,190,190,190,190,190,190
1831,4-Cumin-Ahmedabad-VIRAMGAM-,4,Cumin,Ahmedabad,VIRAMGAM,,Taluka,"6,729","6,729","6,729","6,729","6,729","6,729","6,729","6,729","6,729","6,729"
1832,4-Isabgul-Ahmedabad-VIRAMGAM-,4,Isabgul,Ahmedabad,VIRAMGAM,,Taluka,39,39,39,39,39,39,39,39,39,39
1833,2-Garlic-Amreli-DHARI-,2,Garlic,Amreli,DHARI,,Taluka,425,425,425,425,425,425,425,425,425,425
1834,2-Gram-Amreli-DHARI-,2,Gram,Amreli,DHARI,,Taluka,"2,037","2,037","2,037","2,037","2,037","2,037","2,037","2,037","2,037","2,037"
1835,2-Onion-Amreli-DHARI-,2,Onion,Amreli,DHARI,,Taluka,177,177,177,177,177,177,177,177,177,177
1836,2-Onion-Amreli-RAJULA-,2,Onion,Amreli,RAJULA,,Taluka,"1,548","1,548","1,548","1,548","1,548","1,548","1,548","1,548","1,548","1,548"
1837,2-Onion-Amreli-SAVARKUNDLA-,2,Onion,Amreli,SAVARKUNDLA,,Taluka,471,471,471,471,471,471,471,471,471,471
1838,5-Potato-Anand-ANAND-,5,Potato,Anand,ANAND,,Taluka,858,858,858,858,858,858,858,858,858,858
1839,5-Gram-Anand-KHAMBAT-,5,Gram,Anand,KHAMBAT,,Taluka,"3,189","3,189","3,189","3,189","3,189","3,189","3,189","3,189","3,189","3,189"
1840,6-Fennel-Aravalli-BAYAD-,6,Fennel,Aravalli,BAYAD,,Taluka,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
1841,6-Potato-Aravalli-BAYAD-,6,Potato,Aravalli,BAYAD,,Taluka,"11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000"
1842,6-Rape&Mustard-Aravalli-BAYAD-,6,Rape&Mustard,Aravalli,BAYAD,,Taluka,630,630,630,630,630,630,630,630,630,630
1843,6-Potato-Aravalli-DHANSURA-,6,Potato,Aravalli,DHANSURA,,Taluka,"4,100","4,100","4,100","4,100","4,100","4,100","4,100","4,100","4,100","4,100"
1844,6-Gram-Aravalli-MALPUR-,6,Gram,Aravalli,MALPUR,,Taluka,880,880,880,880,880,880,880,880,880,880
1845,6-Gram-Aravalli-MEGHARAJ-,6,Gram,Aravalli,MEGHARAJ,,Taluka,800,800,800,800,800,800,800,800,800,800
1846,6-Gram-Aravalli-MODASA-,6,Gram,Aravalli,MODASA,,Taluka,860,860,860,860,860,860,860,860,860,860
1847,6-Potato-Aravalli-MODASA-,6,Potato,Aravalli,MODASA,,Taluka,"4,695","4,695","4,695","4,695","4,695","4,695","4,695","4,695","4,695","4,695"
1848,5-Potato-Banaskantha-AMIRGADH-,5,Potato,Banaskantha,AMIRGADH,,Taluka,"3,030","3,030","3,030","3,030","3,030","3,030","3,030","3,030","3,030","3,030"
1849,5-Cumin-Banaskantha-BHABHAR-,5,Cumin,Banaskantha,BHABHAR,,Taluka,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500"
1850,5-Rape&Mustard-Banaskantha-BHABHAR-,5,Rape&Mustard,Banaskantha,BHABHAR,,Taluka,"10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500","10,500"
1851,5-Rape&Mustard-Banaskantha-DANTA-,5,Rape&Mustard,Banaskantha,DANTA,,Taluka,584,584,584,584,584,584,584,584,584,584
1852,5-Cumin-Banaskantha-DANTIWADA-,5,Cumin,Banaskantha,DANTIWADA,,Taluka,300,300,300,300,300,300,300,300,300,300
1853,5-Potato-Banaskantha-DANTIWADA-,5,Potato,Banaskantha,DANTIWADA,,Taluka,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
1854,5-Rape&Mustard-Banaskantha-DANTIWADA-,5,Rape&Mustard,Banaskantha,DANTIWADA,,Taluka,"3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200","3,200"
1855,5-Cumin-Banaskantha-DEESA-,5,Cumin,Banaskantha,DEESA,,Taluka,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
1856,5-Rape&Mustard-Banaskantha-DEESA-,5,Rape&Mustard,Banaskantha,DEESA,,Taluka,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
1857,5-Cumin-Banaskantha-DEODER-,5,Cumin,Banaskantha,DEODER,,Taluka,525,525,525,525,525,525,525,525,525,525
1858,5-Fennel-Banaskantha-DEODER-,5,Fennel,Banaskantha,DEODER,,Taluka,"1,115","1,115","1,115","1,115","1,115","1,115","1,115","1,115","1,115","1,115"
1859,5-Potato-Banaskantha-DHANERA-,5,Potato,Banaskantha,DHANERA,,Taluka,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
1860,5-Cumin-Banaskantha-KANKREJ-,5,Cumin,Banaskantha,KANKREJ,,Taluka,"8,990","8,990","8,990","8,990","8,990","8,990","8,990","8,990","8,990","8,990"
1861,5-Potato-Banaskantha-KANKREJ-,5,Potato,Banaskantha,KANKREJ,,Taluka,"2,850","2,850","2,850","2,850","2,850","2,850","2,850","2,850","2,850","2,850"
1862,5-Rape&Mustard-Banaskantha-KANKREJ-,5,Rape&Mustard,Banaskantha,KANKREJ,,Taluka,"6,080","6,080","6,080","6,080","6,080","6,080","6,080","6,080","6,080","6,080"
1863,5-Fennel-Banaskantha-LAKHANI-,5,Fennel,Banaskantha,LAKHANI,,Taluka,"1,325","1,325","1,325","1,325","1,325","1,325","1,325","1,325","1,325","1,325"
1864,5-Isabgul-Banaskantha-LAKHANI-,5,Isabgul,Banaskantha,LAKHANI,,Taluka,180,180,180,180,180,180,180,180,180,180
1865,5-Potato-Banaskantha-LAKHANI-,5,Potato,Banaskantha,LAKHANI,,Taluka,"5,585","5,585","5,585","5,585","5,585","5,585","5,585","5,585","5,585","5,585"
1866,5-Potato-Banaskantha-PALANPUR-,5,Potato,Banaskantha,PALANPUR,,Taluka,"6,800","6,800","6,800","6,800","6,800","6,800","6,800","6,800","6,800","6,800"
1867,5-Rape&Mustard-Banaskantha-PALANPUR-,5,Rape&Mustard,Banaskantha,PALANPUR,,Taluka,"11,500","11,500","11,500","11,500","11,500","11,500","11,500","11,500","11,500","11,500"
1868,5-Rape&Mustard-Banaskantha-SUIGAM-,5,Rape&Mustard,Banaskantha,SUIGAM,,Taluka,"5,059","5,059","5,059","5,059","5,059","5,059","5,059","5,059","5,059","5,059"
1869,5-Cumin-Banaskantha-THARAD-,5,Cumin,Banaskantha,THARAD,,Taluka,"18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000"
1870,5-Fennel-Banaskantha-THARAD-,5,Fennel,Banaskantha,THARAD,,Taluka,"4,635","4,635","4,635","4,635","4,635","4,635","4,635","4,635","4,635","4,635"
1871,5-Isabgul-Banaskantha-THARAD-,5,Isabgul,Banaskantha,THARAD,,Taluka,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
1872,5-Potato-Banaskantha-VADGAM-,5,Potato,Banaskantha,VADGAM,,Taluka,"2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110"
1873,5-Rape&Mustard-Banaskantha-VADGAM-,5,Rape&Mustard,Banaskantha,VADGAM,,Taluka,"1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180"
1874,5-Rape&Mustard-Banaskantha-VAV-,5,Rape&Mustard,Banaskantha,VAV,,Taluka,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
1875,2-Gram-Bharuch-JAMBUSHAR-,2,Gram,Bharuch,JAMBUSHAR,,Taluka,"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
1876,2-Wheat Unirri-Bharuch-JAMBUSHAR-,2,Wheat Unirri,Bharuch,JAMBUSHAR,,Taluka,"1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800","1,800"
1877,2-Wheat Unirri-Bharuch-VAGRA-,2,Wheat Unirri,Bharuch,VAGRA,,Taluka,500,500,500,500,500,500,500,500,500,500
1878,6-Onion-Bhavnagar-GOGHA-,6,Onion,Bhavnagar,GOGHA,,Taluka,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
1879,6-Onion-Bhavnagar-PALITANA-,6,Onion,Bhavnagar,PALITANA,,Taluka,275,275,275,275,275,275,275,275,275,275
1880,6-Onion-Bhavnagar-SIHOR-,6,Onion,Bhavnagar,SIHOR,,Taluka,400,400,400,400,400,400,400,400,400,400
1881,6-Onion-Bhavnagar-TALAJA-,6,Onion,Bhavnagar,TALAJA,,Taluka,"7,535","7,535","7,535","7,535","7,535","7,535","7,535","7,535","7,535","7,535"
1882,4-Cumin-Botad-BARVALA-,4,Cumin,Botad,BARVALA,,Taluka,221,221,221,221,221,221,221,221,221,221
1883,4-Cumin-Botad-BOTAD-,4,Cumin,Botad,BOTAD,,Taluka,670,670,670,670,670,670,670,670,670,670
1884,4-Cumin-Botad-RANPUR-,4,Cumin,Botad,RANPUR,,Taluka,200,200,200,200,200,200,200,200,200,200
1885,3-Gram-Dahod-DAHOD-,3,Gram,Dahod,DAHOD,,Taluka,"12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530","12,530"
1886,3-Gram-Dahod-DEVGADHBARIA-,3,Gram,Dahod,DEVGADHBARIA,,Taluka,"1,140","1,140","1,140","1,140","1,140","1,140","1,140","1,140","1,140","1,140"
1887,3-Gram-Dahod-DHANPUR-,3,Gram,Dahod,DHANPUR,,Taluka,"3,170","3,170","3,170","3,170","3,170","3,170","3,170","3,170","3,170","3,170"
1888,3-Gram-Dahod-FATEPURA-,3,Gram,Dahod,FATEPURA,,Taluka,"4,025","4,025","4,025","4,025","4,025","4,025","4,025","4,025","4,025","4,025"
1889,3-Gram-Dahod-GARBADA-,3,Gram,Dahod,GARBADA,,Taluka,"7,980","7,980","7,980","7,980","7,980","7,980","7,980","7,980","7,980","7,980"
1890,3-Gram-Dahod-LIMKHEDA-,3,Gram,Dahod,LIMKHEDA,,Taluka,"2,211","2,211","2,211","2,211","2,211","2,211","2,211","2,211","2,211","2,211"
1891,3-Gram-Dahod-SANJELI-,3,Gram,Dahod,SANJELI,,Taluka,"1,340","1,340","1,340","1,340","1,340","1,340","1,340","1,340","1,340","1,340"
1892,3-Gram-Dahod-ZALOD-,3,Gram,Dahod,ZALOD,,Taluka,"4,075","4,075","4,075","4,075","4,075","4,075","4,075","4,075","4,075","4,075"
1893,1-Gram-Dang-DANG-AAHVA-,1,Gram,Dang,DANG-AAHVA,,Taluka,"7,002","7,002","7,002","7,002","7,002","7,002","7,002","7,002","7,002","7,002"
1894,1-Gram-Dang-VAGHAI-,1,Gram,Dang,VAGHAI,,Taluka,"4,005","4,005","4,005","4,005","4,005","4,005","4,005","4,005","4,005","4,005"
1895,6-Cumin-Devbhumi Dwarka-BHANVAD-,6,Cumin,Devbhumi Dwarka,BHANVAD,,Taluka,"1,616","1,616","1,616","1,616","1,616","1,616","1,616","1,616","1,616","1,616"
1896,6-Gram-Devbhumi Dwarka-BHANVAD-,6,Gram,Devbhumi Dwarka,BHANVAD,,Taluka,"1,117","1,117","1,117","1,117","1,117","1,117","1,117","1,117","1,117","1,117"
1897,6-Gram-Devbhumi Dwarka-KALYANPUR-,6,Gram,Devbhumi Dwarka,KALYANPUR,,Taluka,"2,188","2,188","2,188","2,188","2,188","2,188","2,188","2,188","2,188","2,188"
1898,6-Cumin-Devbhumi Dwarka-KHAMBHLIA-,6,Cumin,Devbhumi Dwarka,KHAMBHLIA,,Taluka,"1,280","1,280","1,280","1,280","1,280","1,280","1,280","1,280","1,280","1,280"
1899,6-Gram-Devbhumi Dwarka-KHAMBHLIA-,6,Gram,Devbhumi Dwarka,KHAMBHLIA,,Taluka,415,415,415,415,415,415,415,415,415,415
1900,6-Cumin-Devbhumi Dwarka-OKHAMANDAL-,6,Cumin,Devbhumi Dwarka,OKHAMANDAL,,Taluka,68,68,68,68,68,68,68,68,68,68
1901,2-Fennel-Gandhinagar-DAHEGAM-,2,Fennel,Gandhinagar,DAHEGAM,,Taluka,"1,082","1,082","1,082","1,082","1,082","1,082","1,082","1,082","1,082","1,082"
1902,2-Potato-Gandhinagar-DAHEGAM-,2,Potato,Gandhinagar,DAHEGAM,,Taluka,"3,189","3,189","3,189","3,189","3,189","3,189","3,189","3,189","3,189","3,189"
1903,2-Potato-Gandhinagar-GANDHINAGAR-,2,Potato,Gandhinagar,GANDHINAGAR,,Taluka,"2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157","2,157"
1904,2-Rape&Mustard-Gandhinagar-GANDHINAGAR-,2,Rape&Mustard,Gandhinagar,GANDHINAGAR,,Taluka,283,283,283,283,283,283,283,283,283,283
1905,2-Potato-Gandhinagar-MANSA-,2,Potato,Gandhinagar,MANSA,,Taluka,"1,720","1,720","1,720","1,720","1,720","1,720","1,720","1,720","1,720","1,720"
1906,3-Onion-Gir Somanath-GIR GADHADA-,3,Onion,Gir Somanath,GIR GADHADA,,Taluka,"4,980","4,980","4,980","4,980","4,980","4,980","4,980","4,980","4,980","4,980"
1907,3-Onion-Gir Somanath-UNA-,3,Onion,Gir Somanath,UNA,,Taluka,345,345,345,345,345,345,345,345,345,345
1908,3-Cumin-Jamnagar-JAMJODHPUR-,3,Cumin,Jamnagar,JAMJODHPUR,,Taluka,"1,677","1,677","1,677","1,677","1,677","1,677","1,677","1,677","1,677","1,677"
1909,3-Gram-Jamnagar-JAMJODHPUR-,3,Gram,Jamnagar,JAMJODHPUR,,Taluka,994,994,994,994,994,994,994,994,994,994
1910,3-Cumin-Jamnagar-JAMNAGAR-,3,Cumin,Jamnagar,JAMNAGAR,,Taluka,201,201,201,201,201,201,201,201,201,201
1911,3-Garlic-Jamnagar-JAMNAGAR-,3,Garlic,Jamnagar,JAMNAGAR,,Taluka,364,364,364,364,364,364,364,364,364,364
1912,3-Gram-Jamnagar-JAMNAGAR-,3,Gram,Jamnagar,JAMNAGAR,,Taluka,"1,052","1,052","1,052","1,052","1,052","1,052","1,052","1,052","1,052","1,052"
1913,3-Onion-Jamnagar-JAMNAGAR-,3,Onion,Jamnagar,JAMNAGAR,,Taluka,469,469,469,469,469,469,469,469,469,469
1914,3-Cumin-Jamnagar-JODIYA-,3,Cumin,Jamnagar,JODIYA,,Taluka,743,743,743,743,743,743,743,743,743,743
1915,3-Gram-Jamnagar-JODIYA-,3,Gram,Jamnagar,JODIYA,,Taluka,"3,076","3,076","3,076","3,076","3,076","3,076","3,076","3,076","3,076","3,076"
1916,3-Cumin-Jamnagar-KALAVAD-,3,Cumin,Jamnagar,KALAVAD,,Taluka,"1,490","1,490","1,490","1,490","1,490","1,490","1,490","1,490","1,490","1,490"
1917,3-Garlic-Jamnagar-KALAVAD-,3,Garlic,Jamnagar,KALAVAD,,Taluka,250,250,250,250,250,250,250,250,250,250
1918,3-Gram-Jamnagar-KALAVAD-,3,Gram,Jamnagar,KALAVAD,,Taluka,"3,980","3,980","3,980","3,980","3,980","3,980","3,980","3,980","3,980","3,980"
1919,3-Cumin-Jamnagar-LALPUR-,3,Cumin,Jamnagar,LALPUR,,Taluka,470,470,470,470,470,470,470,470,470,470
1920,3-Gram-Jamnagar-LALPUR-,3,Gram,Jamnagar,LALPUR,,Taluka,690,690,690,690,690,690,690,690,690,690
1921,4-Cumin-Junagadh-JUNAGADH-,4,Cumin,Junagadh,JUNAGADH,,Taluka,525,525,525,525,525,525,525,525,525,525
1922,4-Cumin-Junagadh-Junagath city-,4,Cumin,Junagadh,Junagath city,,Taluka,10,10,10,10,10,10,10,10,10,10
1923,4-Cumin-Junagadh-KESHOD-,4,Cumin,Junagadh,KESHOD,,Taluka,"3,273","3,273","3,273","3,273","3,273","3,273","3,273","3,273","3,273","3,273"
1924,4-Gram-Junagadh-KESHOD-,4,Gram,Junagadh,KESHOD,,Taluka,"9,681","9,681","9,681","9,681","9,681","9,681","9,681","9,681","9,681","9,681"
1925,4-Gram-Junagadh-MALIA-,4,Gram,Junagadh,MALIA,,Taluka,"11,728","11,728","11,728","11,728","11,728","11,728","11,728","11,728","11,728","11,728"
1926,4-Cumin-Junagadh-MANAVADAR-,4,Cumin,Junagadh,MANAVADAR,,Taluka,240,240,240,240,240,240,240,240,240,240
1927,4-Gram-Junagadh-MANAVADAR-,4,Gram,Junagadh,MANAVADAR,,Taluka,"2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120"
1928,4-Gram-Junagadh-MANGROL-,4,Gram,Junagadh,MANGROL,,Taluka,"4,742","4,742","4,742","4,742","4,742","4,742","4,742","4,742","4,742","4,742"
1929,4-Cumin-Junagadh-VANTHALI-,4,Cumin,Junagadh,VANTHALI,,Taluka,"2,169","2,169","2,169","2,169","2,169","2,169","2,169","2,169","2,169","2,169"
1930,4-Garlic-Junagadh-VISAVADAR-,4,Garlic,Junagadh,VISAVADAR,,Taluka,473,473,473,473,473,473,473,473,473,473
1931,6-Potato-Kheda-KAPADWANJ-,6,Potato,Kheda,KAPADWANJ,,Taluka,"2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050","2,050"
1932,6-Potato-Kheda-NADIYAD-,6,Potato,Kheda,NADIYAD,,Taluka,"2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670","2,670"
1933,4-Isabgul-Kutch-ABDASA-,4,Isabgul,Kutch,ABDASA,,Taluka,"2,774","2,774","2,774","2,774","2,774","2,774","2,774","2,774","2,774","2,774"
1934,4-Rape&Mustard-Kutch-ABDASA-,4,Rape&Mustard,Kutch,ABDASA,,Taluka,320,320,320,320,320,320,320,320,320,320
1935,4-Cumin-Kutch-ANJAR-,4,Cumin,Kutch,ANJAR,,Taluka,"2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110","2,110"
1936,4-Cumin-Kutch-BACHAU-,4,Cumin,Kutch,BACHAU,,Taluka,"4,595","4,595","4,595","4,595","4,595","4,595","4,595","4,595","4,595","4,595"
1937,4-Isabgul-Kutch-BACHAU-,4,Isabgul,Kutch,BACHAU,,Taluka,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
1938,4-Rape&Mustard-Kutch-BACHAU-,4,Rape&Mustard,Kutch,BACHAU,,Taluka,260,260,260,260,260,260,260,260,260,260
1939,4-Cumin-Kutch-BHUJ-,4,Cumin,Kutch,BHUJ,,Taluka,175,175,175,175,175,175,175,175,175,175
1940,4-Rape&Mustard-Kutch-BHUJ-,4,Rape&Mustard,Kutch,BHUJ,,Taluka,"1,129","1,129","1,129","1,129","1,129","1,129","1,129","1,129","1,129","1,129"
1941,4-Isabgul-Kutch-LAKHPAT-,4,Isabgul,Kutch,LAKHPAT,,Taluka,"3,208","3,208","3,208","3,208","3,208","3,208","3,208","3,208","3,208","3,208"
1942,4-Cumin-Kutch-MANDVI-,4,Cumin,Kutch,MANDVI,,Taluka,713,713,713,713,713,713,713,713,713,713
1943,4-Rape&Mustard-Kutch-MANDVI-,4,Rape&Mustard,Kutch,MANDVI,,Taluka,695,695,695,695,695,695,695,695,695,695
1944,4-Cumin-Kutch-MUNDRA-,4,Cumin,Kutch,MUNDRA,,Taluka,201,201,201,201,201,201,201,201,201,201
1945,4-Isabgul-Kutch-NAKHATRANA-,4,Isabgul,Kutch,NAKHATRANA,,Taluka,"3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735"
1946,4-Rape&Mustard-Kutch-NAKHATRANA-,4,Rape&Mustard,Kutch,NAKHATRANA,,Taluka,"1,523","1,523","1,523","1,523","1,523","1,523","1,523","1,523","1,523","1,523"
